Total Infected Dead Recovered
1000 1 0 0
1000 1 0 0
1000 1 0 0
1000 2 0 0
1000 2 0 0
1000 2 0 0
1000 2 0 0
1000 2 0 0
1000 2 0 0
1000 2 0 0
1000 2 0 0
1000 2 0 0
1000 2 0 0
1000 2 0 0
1000 3 0 1
1000 3 0 1
1000 3 0 1
1000 3 0 2
1000 3 0 2
1000 3 0 2
1000 3 0 2
1000 3 0 2
1000 3 0 2
1000 3 0 2
1000 3 0 2
1000 3 0 2
1000 3 0 2
1000 4 0 2
1000 6 0 3
1000 7 0 3
1000 10 0 3
1000 10 0 3
1000 11 0 3
1000 12 0 3
1000 14 0 3
1000 15 0 3
1000 17 0 3
1000 21 0 3
1000 23 0 3
1000 24 0 3
1000 26 0 3
1000 30 0 4
1000 30 0 6
1000 34 0 7
1000 38 0 10
1000 40 0 10
1000 45 0 11
1000 49 0 12
1000 55 0 14
1000 60 0 15
1000 67 0 17
1000 77 0 21
1000 84 0 23
1000 91 0 24
1000 100 0 26
1000 112 0 30
1000 127 0 30
1000 133 0 34
1000 148 0 38
1000 161 0 40
1000 170 0 45
1000 187 0 49
1000 206 0 55
1000 225 1 60
1000 239 1 67
1000 257 1 77
1000 274 1 84
1000 301 1 91
1000 320 1 100
1000 340 1 112
1000 362 1 127
1000 376 2 132
1000 405 2 147
1000 424 2 160
1000 448 2 169
1000 471 2 186
1000 497 2 205
1000 514 2 224
1000 536 2 238
1000 553 2 255
1000 570 2 272
1000 586 2 299
1000 604 2 318
1000 618 2 338
1000 627 3 360
1000 635 3 374
1000 645 3 403
1000 663 3 422
1000 672 3 446
1000 682 3 469
1000 694 3 495
1000 703 3 512
1000 710 3 533
1000 715 3 550
1000 720 3 567
1000 730 3 583
1000 735 3 601
1000 743 3 615
1000 748 3 624
1000 754 3 632
1000 757 3 642
1000 761 3 660
1000 766 3 669
1000 771 3 679
1000 775 3 691
1000 778 3 700
1000 779 3 707
1000 784 3 712
1000 786 3 717
1000 788 3 727
1000 790 3 732
1000 792 3 740
1000 792 3 745
1000 793 3 751
1000 793 3 754
1000 796 3 758
1000 796 3 763
1000 796 3 768
1000 796 3 772
1000 798 3 775
1000 800 3 776
1000 800 3 781
1000 801 3 783
1000 801 3 785
1000 801 3 787
1000 801 3 789
1000 801 3 789
1000 801 3 790
1000 801 3 790
1000 802 3 793
1000 802 3 793
1000 802 3 793
1000 802 3 793
1000 802 3 795
1000 802 3 797
1000 802 3 797
1000 802 3 798
1000 802 3 798
1000 802 3 798
1000 802 3 798
1000 802 3 798
1000 802 3 798
1000 802 3 798
1000 802 3 799
