Infections,Deaths,Recoveries,Active,New Infections,Hospital,Hospital Queue
1,0,0,1,0,0,0
20,0,0,20,19,19,0
56,0,0,56,36,55,0
150,0,0,150,94,149,0
252,0,0,252,102,251,0
428,0,0,428,176,427,0
644,0,0,644,216,643,0
828,0,0,828,184,827,0
1086,0,0,1086,258,1085,0
1367,0,0,1367,281,1366,0
1623,0,0,1623,256,1622,0
1966,0,0,1966,343,1965,0
2291,0,0,2291,325,2290,0
2773,0,0,2773,482,2772,0
3256,0,0,3256,483,3255,0
3784,0,1,3783,528,3783,0
4293,3,17,4273,509,4273,0
4957,7,49,4901,664,4901,0
5594,13,137,5444,637,5444,0
6313,22,230,6061,719,6061,0
7129,30,398,6701,816,6701,0
8018,37,607,7374,889,7374,0
8986,52,776,8158,968,8158,0
10002,64,1022,8916,1016,8916,0
11085,78,1289,9718,1083,9718,0
12251,86,1537,10628,1166,10000,628
14276,106,1860,12310,2025,10021,2289
17456,133,2158,15165,3180,10129,5036
22198,159,2614,19425,4742,10442,8983
29480,172,3084,26224,7282,11063,15161
40279,190,3594,36495,10799,12168,24327
56442,225,4068,52149,16163,14040,38109
80265,259,4698,75308,23823,17071,58237
113344,294,5300,107750,33079,22198,85552
153281,327,5986,146968,39937,29595,117373
193610,364,6765,186481,40329,40457,146024
229170,409,7609,221152,35560,55473,165679
259963,467,8519,250977,30793,75229,175748
289019,533,9469,279017,29056,97039,181978
323472,589,10496,312387,34453,100000,212387
388073,758,11493,375822,64601,100000,275822
498344,1935,12341,484068,110271,100000,384068
668741,4880,12576,651285,170397,100000,551285
909507,9251,12947,887309,240766,100000,787309
1206077,15837,13643,1176597,296570,100000,1076597
1505811,25493,14786,1465532,299734,100000,1365532
1741132,35889,20553,1684690,235321,100000,1588663
1881630,42846,37419,1801365,140498,100000,1715723
1950384,44655,68689,1837040,68754,100000,1768873
1979893,46793,106488,1826612,29509,100000,1780369
1991959,48968,144642,1798349,12066,100000,1770977
1996777,50997,178173,1767607,4818,100000,1750333
1998706,52731,207232,1738743,1929,100000,1722331
1999446,57795,231224,1710427,740,100000,1689061
1999747,89031,234441,1676275,301,100000,1647099
1999892,152798,235275,1611819,145,100000,1573524
1999932,243839,254505,1501588,40,100000,1473564
1999961,318836,349905,1331220,29,100000,1373593
1999978,337163,572344,1090471,17,100000,1273610
1999983,351922,854155,793906,5,100000,1173615
1999983,366691,1139120,494172,0,100000,1073615
1999986,378497,1362635,258854,3,92334,981284
1999986,385473,1496157,118356,0,90001,891284
1999986,388908,1561476,49602,0,90001,801284
