Infections,Deaths,Recoveries,Active,New Infections,Hospital,Hospital Queue
1,0,0,1,0,0,0
1,0,0,1,0,0,0
1,0,0,1,0,0,0
1,0,0,1,0,0,0
3,0,0,3,2,2,0
7,0,0,7,4,6,0
9,0,0,9,2,8,0
14,0,0,14,5,13,0
27,0,0,27,13,26,0
31,0,0,31,4,30,0
32,0,0,32,1,31,0
34,0,0,34,2,33,0
41,0,0,41,7,40,0
47,0,0,47,6,46,0
55,0,0,55,8,54,0
63,0,1,62,8,62,0
75,0,1,74,12,74,0
86,0,1,85,11,85,0
94,0,1,93,8,93,0
105,1,2,102,11,102,0
111,1,6,104,6,104,0
125,1,8,116,14,116,0
139,2,12,125,14,125,0
157,3,24,130,18,130,0
172,4,27,141,15,141,0
194,4,28,162,22,162,0
205,4,30,171,11,171,0
218,5,36,177,13,177,0
232,5,42,185,14,185,0
250,5,50,195,18,195,0
261,6,57,198,11,198,0
267,6,69,192,6,192,0
283,6,80,197,16,197,0
293,6,88,199,10,199,0
306,7,98,201,13,201,0
335,7,104,224,29,224,0
349,7,118,224,14,224,0
366,7,132,227,17,227,0
380,8,149,223,14,223,0
403,8,164,231,23,231,0
411,8,186,217,8,217,0
421,8,197,216,10,216,0
435,8,210,217,14,217,0
443,9,223,211,8,211,0
465,10,240,215,22,215,0
478,11,250,217,13,217,0
498,11,256,231,20,231,0
510,11,272,227,12,227,0
526,11,282,233,16,233,0
535,11,295,229,9,229,0
539,11,324,204,4,204,0
555,12,337,206,16,206,0
570,12,354,204,15,204,0
581,12,368,201,11,201,0
591,12,391,188,10,188,0
612,13,398,201,21,201,0
631,13,408,210,19,210,0
643,13,422,208,12,208,0
656,13,430,213,13,213,0
670,13,452,205,14,205,0
686,14,464,208,16,208,0
700,15,483,202,14,202,0
717,15,495,207,17,207,0
733,15,511,207,16,207,0
758,15,520,223,25,223,0
775,15,524,236,17,236,0
814,17,538,259,39,259,0
831,17,553,261,17,261,0
862,17,564,281,31,281,0
885,18,573,294,23,294,0
912,22,590,300,27,300,0
937,22,609,306,25,306,0
968,26,617,325,31,325,0
994,26,630,338,26,338,0
1014,26,644,344,20,344,0
1041,26,660,355,27,355,0
1059,26,674,359,18,359,0
1088,26,691,371,29,371,0
1113,27,706,380,25,380,0
1134,30,728,376,21,376,0
1175,31,744,400,41,400,0
1198,34,780,384,23,384,0
1231,34,797,400,33,400,0
1279,38,824,417,48,417,0
1315,38,847,430,36,430,0
1364,40,872,452,49,452,0
1403,40,897,466,39,466,0
1428,40,928,460,25,460,0
1465,44,950,471,37,471,0
1509,45,969,495,44,495,0
1551,47,994,510,42,510,0
1587,47,1012,528,36,528,0
1635,48,1040,547,48,547,0
1680,49,1064,567,45,567,0
1719,50,1084,585,39,585,0
1773,52,1123,598,54,598,0
1810,53,1145,612,37,612,0
1860,56,1175,629,50,629,0
1918,58,1221,639,58,639,0
1967,59,1256,652,49,652,0
2024,60,1304,660,57,660,0
2083,61,1342,680,59,680,0
2135,62,1366,707,52,707,0
2193,62,1403,728,58,728,0
2249,62,1447,740,56,740,0
2336,63,1488,785,87,785,0
2394,66,1521,807,58,807,0
2436,68,1567,801,42,801,0
2504,68,1612,824,68,824,0
2568,70,1649,849,64,849,0
2646,72,1701,873,78,873,0
2709,74,1736,899,63,899,0
2766,77,1783,906,57,906,0
2835,83,1835,917,69,917,0
2910,84,1883,943,75,943,0
2988,86,1938,964,78,964,0
3068,92,1991,985,80,985,0
3163,94,2041,1028,95,1028,0
3237,97,2096,1044,74,1044,0
3331,99,2150,1082,94,1082,0
3414,101,2235,1078,83,1078,0
3487,107,2287,1093,73,1093,0
3562,112,2324,1126,75,1126,0
3645,114,2390,1141,83,1141,0
3741,119,2449,1173,96,1173,0
3833,125,2521,1187,92,1187,0
3915,127,2582,1206,82,1206,0
4010,130,2636,1244,95,1244,0
4110,134,2701,1275,100,1275,0
4214,138,2772,1304,104,1304,0
4325,140,2848,1337,111,1337,0
4444,142,2926,1376,119,1376,0
4551,146,3017,1388,107,1388,0
4640,153,3084,1403,89,1403,0
4744,157,3174,1413,104,1413,0
4857,162,3252,1443,113,1443,0
4975,168,3319,1488,118,1488,0
5074,169,3393,1512,99,1512,0
5203,173,3472,1558,129,1558,0
5341,179,3562,1600,138,1600,0
5485,183,3650,1652,144,1652,0
5628,188,3727,1713,143,1713,0
5752,195,3815,1742,124,1742,0
